1017,MH01CV1712,Refuse_Compactor,iVUwxYdwwjeJdRRNbFGu,JCTugVVVUbbDDuaGtRSC,TATA,2019,t,2022-01-14 18:08:01.594408+05:30,2022-01-14 18:08:01.594438+05:30,57,1,,1
2094,MH01DR4803,Tempo,LDQkcUmKekAbemygrcjN,IgeUlegxstAiddclQrFV,TATA,1950,t,2022-03-30 12:02:21.629459+05:30,2022-03-30 12:02:21.629465+05:30,97,1,1,13
2095,MH01DR4807,Tempo,cmQwNfgUfuyjjJFglNiz,qZoyUYhEZxyIOlCQFOep,TATA,1950,t,2022-03-30 12:02:45.781234+05:30,2022-03-30 12:02:45.781243+05:30,97,1,1,13
2103,MH01DR5297,Tempo,wilRoIWraBAIsKtrIqgw,SjIQFuYNqIskpqVLsmWE,TATA,1950,t,2022-03-30 12:08:41.002394+05:30,2022-03-30 12:08:41.002401+05:30,99,1,1,10
1022,MH01CV1709,Refuse_Compactor,bOYnXqUXWCBPuMmDkUtY,rsjGNBvOygsyaufHcnnv,TATA,2019,t,2022-01-20 22:59:59.03465+05:30,2022-01-20 22:59:59.034665+05:30,57,1,,1
2104,MH01DR5301,Tempo,eRlDgzcejoxgmpMfTfNO,rJomvtQgmvBsIYgcfHXm,TATA,1950,t,2022-03-30 12:09:04.194407+05:30,2022-03-30 12:09:04.194414+05:30,99,1,1,10
1044,MH01CV1705,Side_Loading_Compactor,LotAvawEtlxyygLJbAoT,wUjkvOUJJJCOledVIkfO,TATA,2019,t,2022-07-16 17:04:23.10822+05:30,2022-07-16 17:04:23.10823+05:30,57,1,1,1
1021,MH01CV1711,Refuse_Compactor,VDeGcnUdMFHrbDseXBMR,WRbZEncRNhxMnfKWwUlk,TATA,2019,t,2022-07-16 17:08:33.28738+05:30,2022-07-16 17:08:33.287388+05:30,60,1,1,3
1009,MH01CV1969,Small_Closed_Vehicle,LJHHsQXPiFPhsXMSCIby,WjrFLVGJPODpAQUyOEwq,TATA,2018,t,2022-07-16 17:09:09.20308+05:30,2022-07-16 17:09:09.203086+05:30,60,1,1,3
1002,MH01CV1944,Side_Loading_Compactor,FNThvZckNdyPBDUsGhyv,feLhnQyBgwERFEXoQaIc,TATA,2018,t,2022-10-07 10:39:26.24282+05:30,2022-10-07 10:39:26.242826+05:30,62,1,1,5
1018,MH01CV2265,Refuse_Mini_Compactor,FxUhliqNDjsRajdIMvlt,LyDuDmUyijgVzYTINZJK,TATA,2019,t,2022-01-14 18:08:01.596549+05:30,2022-01-14 18:08:01.596579+05:30,57,1,,1
1049,MH01CV1699,Refuse_Mini_Compactor,phQQiCpiOhITFsglgYRA,NjcPtailVerzAYlMVSOF,TATA,2019,t,2022-01-20 22:59:59.075286+05:30,2022-01-20 22:59:59.075358+05:30,59,1,,2
2105,MH01DR5296,Tempo,XwwgkHCajlUjHxQRnRCF,hSuOHbWCyyPdwEtNPwPZ,TATA,1950,t,2022-03-30 12:09:46.816238+05:30,2022-03-30 12:09:46.816245+05:30,65,1,1,9
2077,MH01DR3931,Tempo,cRuRMicuubFvORSNSuts,GQWTBWpHGffloQhZRfhp,TATA,1950,t,2022-03-30 12:18:53.555966+05:30,2022-03-30 12:18:53.555972+05:30,97,1,1,13
2076,MH01DR3935,Tempo,tfmDizvPrRGyQcNUqEEL,NlQwXVpSiegsZpIunCOB,TATA,1950,t,2022-03-30 12:19:19.925841+05:30,2022-03-30 12:19:19.925849+05:30,97,1,1,13
