57,t,f,f
58,f,t,f
59,t,f,f
60,t,f,f
61,t,f,f
62,t,f,f
63,t,f,f
64,t,f,f
65,t,f,f
66,t,f,f
67,t,f,f
68,t,f,f
69,t,f,f
70,t,f,f
71,t,f,f
72,t,f,f
73,t,f,f
74,t,f,f
75,t,f,f
76,t,f,f
77,t,f,f
78,f,t,f
79,f,t,f
80,f,t,f
81,f,t,f
82,f,t,f
83,f,t,f
84,f,t,f
85,f,t,f
86,f,t,f
87,f,t,f
88,f,t,f
89,f,t,f
90,f,t,f
91,f,t,f
92,f,t,f
93,f,t,f
94,f,t,f
95,f,t,f
96,f,t,f
97,t,f,f
98,t,f,f
99,t,f,f
100,t,f,f
101,t,f,f
102,t,f,f
103,f,t,f
104,f,t,f
105,f,t,f
106,f,t,f
107,f,t,f
109,f,t,f
110,f,t,f
111,f,t,f
112,f,t,f
113,f,t,f
114,f,t,f
115,f,t,f
116,f,t,f
117,f,t,f
118,f,t,f
119,f,t,f
120,f,t,f
121,f,t,f
122,f,t,f
123,f,t,f
124,f,t,f
125,f,t,f
126,f,t,f
127,f,t,f
128,f,t,f
129,f,t,f
130,f,t,f
131,f,t,f
132,f,t,f
133,t,f,f
134,t,f,f
135,t,f,f
136,t,f,f
137,t,f,f
138,t,f,f
139,t,f,f
140,t,f,f
141,t,f,f
142,t,f,f
143,t,f,f
144,t,f,f
145,t,f,f
146,t,f,f
147,t,f,f
148,t,f,f
149,t,f,f
150,t,f,f
151,t,f,f
152,t,f,f
153,t,f,f
154,t,f,f
155,t,f,f
156,t,f,f
157,t,f,f
158,t,f,f
159,t,f,f
160,t,f,f
161,t,f,f
162,t,f,f
163,t,f,f
164,t,f,f
165,t,f,f
166,t,f,f
167,t,f,f
168,f,t,f
169,f,t,f
170,f,t,f
171,f,t,f
172,f,t,f
173,f,t,f
174,f,t,f
175,f,t,f
176,t,f,f
177,t,f,f
178,t,f,f
179,t,f,f
180,t,f,f
181,t,f,f
182,t,f,f
183,t,f,f
184,t,f,f
185,t,f,f
186,t,f,f
187,t,f,f
188,t,f,f
189,t,f,f
190,t,f,f
191,t,f,f
192,t,f,f
193,t,f,f
194,t,f,f
195,t,f,f
196,t,f,f
197,t,f,f
198,t,f,f
199,t,f,f
200,t,f,f
201,t,f,f
202,t,f,f
203,t,f,f
